keyword,faculty,strength
sustainability,engineering,215
sustainability,architecture,177
sustainability,design,86
Milan,engineering,39
Milan,architecture,321
Milan,design,89
landscape,engineering,9
landscape,architecture,284
landscape,design,28
museum,engineering,13
museum,architecture,238
museum,design,50
public space,engineering,4
public space,architecture,203
public space,design,34
energy efficiency,engineering,164
energy efficiency,architecture,22
energy efficiency,design,1
optimization,engineering,181
optimization,architecture,2
optimization,design,3
reuse,engineering,12
reuse,architecture,142
reuse,design,30
architecture,engineering,16
architecture,architecture,142
architecture,design,18
CFD,engineering,172
CFD,architecture,1
CFD,design,0
innovation,engineering,88
innovation,architecture,16
innovation,design,59
social housing,engineering,28
social housing,architecture,105
social housing,design,10
energy,engineering,93
energy,architecture,30
energy,design,15
simulation,engineering,136
simulation,architecture,2
simulation,design,0
park,engineering,11
park,architecture,102
park,design,13
library,engineering,21
library,architecture,92
library,design,12
model,engineering,110
model,architecture,2
model,design,6
housing,engineering,13
housing,architecture,93
housing,design,3
communication,engineering,14
communication,architecture,9
communication,design,86
city,engineering,5
city,architecture,59
city,design,41
supply chain,engineering,100
supply chain,architecture,0
supply chain,design,2
redevelopment,engineering,13
redevelopment,architecture,77
redevelopment,design,8
waterfront,engineering,5
waterfront,architecture,84
waterfront,design,8
water,engineering,24
water,architecture,59
water,design,14
fashion,engineering,25
fashion,architecture,8
fashion,design,62
Italy,engineering,55
Italy,architecture,18
Italy,design,22
wood,engineering,25
wood,architecture,50
wood,design,20
infrastructure,engineering,14
infrastructure,architecture,78
infrastructure,design,2
performance,engineering,74
performance,architecture,8
performance,design,9
social network,engineering,54
social network,architecture,9
social network,design,48
project,engineering,29
project,architecture,48
project,design,13
culture,engineering,12
culture,architecture,43
culture,design,34
control,engineering,86
control,architecture,2
control,design,1
integration,engineering,42
integration,architecture,34
integration,design,11
urban regeneration,engineering,5
urban regeneration,architecture,78
urban regeneration,design,4
mobile,engineering,67
mobile,architecture,1
mobile,design,18
efficiency,engineering,81
efficiency,architecture,2
efficiency,design,3
China,engineering,22
China,architecture,25
China,design,37
maintenance,engineering,76
maintenance,architecture,6
maintenance,design,1
urban,engineering,9
urban,architecture,50
urban,design,24
earthquake,engineering,36
earthquake,architecture,36
earthquake,design,11
school,engineering,18
school,architecture,48
school,design,15
exhibition,engineering,2
exhibition,architecture,17
exhibition,design,62
food,engineering,16
food,architecture,13
food,design,51
analysis,engineering,57
analysis,architecture,13
analysis,design,10
development,engineering,29
development,architecture,34
development,design,15
university,engineering,12
university,architecture,55
university,design,10
network,engineering,30
network,architecture,18
network,design,29
flexibility,engineering,23
flexibility,architecture,45
flexibility,design,9
renewable energy,engineering,67
renewable energy,architecture,6
renewable energy,design,3
safety,engineering,61
safety,architecture,5
safety,design,10
strategy,engineering,42
strategy,architecture,17
strategy,design,17
concrete,engineering,52
concrete,architecture,19
concrete,design,5
LCA,engineering,63
LCA,architecture,11
LCA,design,1
art,engineering,4
art,architecture,33
art,design,38
tourism,engineering,15
tourism,architecture,26
tourism,design,32
requalification,engineering,10
requalification,architecture,57
requalification,design,5
photovoltaic,engineering,65
photovoltaic,architecture,3
photovoltaic,design,4
nature,engineering,7
nature,architecture,42
nature,design,22
social,engineering,22
social,architecture,20
social,design,28
identity,engineering,2
identity,architecture,27
identity,design,40
music,engineering,12
music,architecture,19
music,design,37
green,engineering,19
green,architecture,35
green,design,14
risk management,engineering,65
risk management,architecture,1
risk management,design,1
recovery,engineering,20
recovery,architecture,37
recovery,design,10
conservation,engineering,7
conservation,architecture,56
conservation,design,4
restoration,engineering,10
restoration,architecture,56
restoration,design,0
management,engineering,51
management,architecture,14
management,design,1
environment,engineering,24
environment,architecture,32
environment,design,10
memory,engineering,7
memory,architecture,35
memory,design,24
technology,engineering,20
technology,architecture,23
technology,design,22
territory,engineering,2
territory,architecture,29
territory,design,34
monitoring,engineering,50
monitoring,architecture,7
monitoring,design,7
system,engineering,26
system,architecture,8
system,design,30
Bovisa,engineering,1
Bovisa,architecture,52
Bovisa,design,11
market,engineering,21
market,architecture,30
market,design,13
refurbishment,engineering,38
refurbishment,architecture,25
refurbishment,design,1
children,engineering,8
children,architecture,13
children,design,43
risk,engineering,62
risk,architecture,2
risk,design,0
mobility,engineering,21
mobility,architecture,24
mobility,design,18
BIM,engineering,43
BIM,architecture,20
BIM,design,0
urban planning,engineering,4
urban planning,architecture,56
urban planning,design,3
ICT,engineering,53
ICT,architecture,6
ICT,design,3
service,engineering,16
service,architecture,2
service,design,43
fatigue,engineering,61
fatigue,architecture,0
fatigue,design,0
urban design,engineering,11
urban design,architecture,44
urban design,design,5
community,engineering,2
community,architecture,16
community,design,42
modeling,engineering,94
modeling,architecture,3
modeling,design,0
station,engineering,5
station,architecture,50
station,design,4
tower,engineering,11
tower,architecture,46
tower,design,2
project management,engineering,53
project management,architecture,5
project management,design,1
collaboration,engineering,29
collaboration,architecture,3
collaboration,design,26
space,engineering,10
space,architecture,31
space,design,17
interaction,engineering,13
interaction,architecture,5
interaction,design,66
FEM,engineering,56
FEM,architecture,1
FEM,design,0
planning,engineering,31
planning,architecture,26
planning,design,0
sport,engineering,9
sport,architecture,31
sport,design,17
education,engineering,12
education,architecture,11
education,design,33
tissue engineering,engineering,56
tissue engineering,architecture,0
tissue engineering,design,0
Android,engineering,54
Android,architecture,0
Android,design,2
history,engineering,3
history,architecture,36
history,design,17
hotel,engineering,16
hotel,architecture,35
hotel,design,5
quality,engineering,39
quality,architecture,11
quality,design,6
regeneration,engineering,8
regeneration,architecture,45
regeneration,design,2
social media,engineering,37
social media,architecture,2
social media,design,15
railway,engineering,13
railway,architecture,39
railway,design,1
smartphone,engineering,41
smartphone,architecture,0
smartphone,design,12
light,engineering,5
light,architecture,18
light,design,30
cinema,engineering,2
cinema,architecture,15
cinema,design,36
cogeneration,engineering,50
cogeneration,architecture,2
cogeneration,design,0
experience,engineering,6
experience,architecture,4
experience,design,41
finite elements,engineering,50
finite elements,architecture,1
finite elements,design,0
supply chain management,engineering,51
supply chain management,architecture,0
supply chain management,design,0
retail,engineering,25
retail,architecture,5
retail,design,21
square,engineering,4
square,architecture,41
square,design,6
FPGA,engineering,51
FPGA,architecture,0
FPGA,design,0
real estate,engineering,30
real estate,architecture,18
real estate,design,2
Berlin,engineering,1
Berlin,architecture,49
Berlin,design,0
energy saving,engineering,40
energy saving,architecture,8
energy saving,design,2
service design,engineering,1
service design,architecture,0
service design,design,49
masterplan,engineering,6
masterplan,architecture,44
masterplan,design,0
classification,engineering,46
classification,architecture,1
classification,design,3
Expo,engineering,11
Expo,architecture,34
Expo,design,5
Expo 2015,engineering,3
Expo 2015,architecture,38
Expo 2015,design,9
cultural heritage,engineering,8
cultural heritage,architecture,24
cultural heritage,design,17
app,engineering,53
app,architecture,2
app,design,70
steel,engineering,37
steel,architecture,12
steel,design,0
accessibility,engineering,12
accessibility,architecture,28
accessibility,design,8
business model,engineering,45
business model,architecture,0
business model,design,3
digital,engineering,17
digital,architecture,5
digital,design,26
archeology,engineering,1
archeology,architecture,46
archeology,design,1
connection,engineering,11
connection,architecture,54
connection,design,11
process,engineering,29
process,architecture,5
process,design,13
comfort,engineering,35
comfort,architecture,7
comfort,design,5
biomass,engineering,44
biomass,architecture,2
biomass,design,1
agriculture,engineering,6
agriculture,architecture,34
agriculture,design,7
smart city,engineering,21
smart city,architecture,12
smart city,design,13
temporary,engineering,3
temporary,architecture,22
temporary,design,21
time,engineering,7
time,architecture,13
time,design,26
marketing,engineering,27
marketing,architecture,2
marketing,design,17
research,engineering,6
research,architecture,21
research,design,18
life cycle assessment,engineering,31
life cycle assessment,architecture,12
life cycle assessment,design,2
environmental sustainability,engineering,28
environmental sustainability,architecture,11
environmental sustainability,design,5
logistics,engineering,40
logistics,architecture,2
logistics,design,2
laser,engineering,40
laser,architecture,0
laser,design,4
characterization,engineering,43
characterization,architecture,1
characterization,design,0
brand,engineering,3
brand,architecture,2
brand,design,39
finite element method,engineering,44
finite element method,architecture,0
finite element method,design,0
rehabilitation,engineering,22
rehabilitation,architecture,18
rehabilitation,design,3
facility management,engineering,37
facility management,architecture,6
facility management,design,0
hospital,engineering,19
hospital,architecture,19
hospital,design,5
auditorium,engineering,8
auditorium,architecture,35
auditorium,design,0
storytelling,engineering,4
storytelling,architecture,0
storytelling,design,38
climate change,engineering,31
climate change,architecture,9
climate change,design,2
computational fluid dynamics,engineering,42
computational fluid dynamics,architecture,0
computational fluid dynamics,design,0
framework,engineering,40
framework,architecture,1
framework,design,1
security,engineering,35
security,architecture,3
security,design,3
healthcare,engineering,34
healthcare,architecture,4
healthcare,design,3
bicycle,engineering,9
bicycle,architecture,6
bicycle,design,26
smart grid,engineering,39
smart grid,architecture,2
smart grid,design,0
perception,engineering,1
perception,architecture,15
perception,design,25
nanoparticles,engineering,41
nanoparticles,architecture,0
nanoparticles,design,0
Porta Genova,engineering,0
Porta Genova,architecture,40
Porta Genova,design,0
transport,engineering,21
transport,architecture,9
transport,design,10
new product development,engineering,40
new product development,architecture,0
new product development,design,0
underground,engineering,9
underground,architecture,22
underground,design,9
crowdsourcing,engineering,22
crowdsourcing,architecture,0
crowdsourcing,design,18
interior design,engineering,0
interior design,architecture,13
interior design,design,27
modular,engineering,7
modular,architecture,14
modular,design,19
transformation,engineering,3
transformation,architecture,30
transformation,design,6
luxury,engineering,21
luxury,architecture,0
luxury,design,18
materials,engineering,9
materials,architecture,6
materials,design,24
combustion,engineering,39
combustion,architecture,0
combustion,design,0
river,engineering,3
river,architecture,35
river,design,1
corrosion,engineering,39
corrosion,architecture,0
corrosion,design,0
emergency,engineering,13
emergency,architecture,16
emergency,design,9
participation,engineering,3
participation,architecture,21
participation,design,14
reconstruction,engineering,6
reconstruction,architecture,23
reconstruction,design,9
hydrogen,engineering,38
hydrogen,architecture,0
hydrogen,design,0
Alzheimer,engineering,2
Alzheimer,architecture,2
Alzheimer,design,34
sustainable development,engineering,22
sustainable development,architecture,15
sustainable development,design,1
renovation,engineering,7
renovation,architecture,29
renovation,design,2
MEMS,engineering,36
MEMS,architecture,0
MEMS,design,1
natural gas,engineering,37
natural gas,architecture,0
natural gas,design,0
social innovation,engineering,4
social innovation,architecture,3
social innovation,design,30
temperature,engineering,37
temperature,architecture,0
temperature,design,0
packaging,engineering,8
packaging,architecture,2
packaging,design,27
furniture,engineering,4
furniture,architecture,2
furniture,design,31
game theory,engineering,35
game theory,architecture,0
game theory,design,2
structure,engineering,20
structure,architecture,13
structure,design,4
preservation,engineering,2
preservation,architecture,31
preservation,design,3
Twitter,engineering,28
Twitter,architecture,1
Twitter,design,7
evaluation,engineering,23
evaluation,architecture,12
evaluation,design,1
platform,engineering,12
platform,architecture,4
platform,design,20
automotive,engineering,30
automotive,architecture,0
automotive,design,6
campus,engineering,4
campus,architecture,31
campus,design,1
sharing,engineering,4
sharing,architecture,4
sharing,design,28
photography,engineering,0
photography,architecture,14
photography,design,22
Bergamo,engineering,5
Bergamo,architecture,27
Bergamo,design,3
information,engineering,16
information,architecture,3
information,design,16
residential,engineering,18
residential,architecture,17
residential,design,0
low cost,engineering,6
low cost,architecture,18
low cost,design,11
health,engineering,16
health,architecture,9
health,design,10
cultural center,engineering,5
cultural center,architecture,27
cultural center,design,3
real time,engineering,34
real time,architecture,0
real time,design,1
building,engineering,20
building,architecture,15
building,design,0
database,engineering,26
database,architecture,3
database,design,6
lean,engineering,34
lean,architecture,0
lean,design,1
web,engineering,12
web,architecture,2
web,design,20
bridge,engineering,9
bridge,architecture,22
bridge,design,3
Shanghai,engineering,2
Shanghai,architecture,23
Shanghai,design,9
wine,engineering,3
wine,architecture,20
wine,design,11
clustering,engineering,34
clustering,architecture,0
clustering,design,0
fire,engineering,32
fire,architecture,1
fire,design,1
New York,engineering,1
New York,architecture,32
New York,design,1
hybrid,engineering,21
hybrid,architecture,6
hybrid,design,7
stadium,engineering,1
stadium,architecture,33
stadium,design,0
game,engineering,4
game,architecture,1
game,design,29
calibration,engineering,34
calibration,architecture,0
calibration,design,0
Africa,engineering,13
Africa,architecture,18
Africa,design,3
wellness,engineering,11
wellness,architecture,11
wellness,design,12
algorithm,engineering,32
algorithm,architecture,1
algorithm,design,0
survey,engineering,20
survey,architecture,11
survey,design,2
production,engineering,20
production,architecture,4
production,design,9
construction,engineering,20
construction,architecture,10
construction,design,3
robotics,engineering,32
robotics,architecture,0
robotics,design,1
sensitivity analysis,engineering,32
sensitivity analysis,architecture,1
sensitivity analysis,design,0
robot,engineering,27
robot,architecture,0
robot,design,5
augmented reality,engineering,12
augmented reality,architecture,4
augmented reality,design,16
finite element analysis,engineering,32
finite element analysis,architecture,0
finite element analysis,design,0
L'Aquila,engineering,8
L'Aquila,architecture,12
L'Aquila,design,12
sentiment analysis,engineering,32
sentiment analysis,architecture,0
sentiment analysis,design,0
helicopter,engineering,31
helicopter,architecture,0
helicopter,design,1
impact,engineering,32
impact,architecture,0
impact,design,0
tradition,engineering,0
tradition,architecture,10
tradition,design,22
ontology,engineering,32
ontology,architecture,0
ontology,design,0
creativity,engineering,3
creativity,architecture,7
creativity,design,22
machine learning,engineering,32
machine learning,architecture,0
machine learning,design,0
Europe,engineering,14
Europe,architecture,18
Europe,design,0
residence,engineering,3
residence,architecture,28
residence,design,1
optimal control,engineering,32
optimal control,architecture,0
optimal control,design,0
SPAD,engineering,31
SPAD,architecture,0
SPAD,design,0
masonry,engineering,28
masonry,architecture,3
masonry,design,0
services,engineering,10
services,architecture,9
services,design,12
castle,engineering,5
castle,architecture,25
castle,design,1
startup,engineering,20
startup,architecture,1
startup,design,10
energy consumption,engineering,30
energy consumption,architecture,1
energy consumption,design,0
genetic algorithm,engineering,49
genetic algorithm,architecture,2
genetic algorithm,design,0
open innovation,engineering,22
open innovation,architecture,0
open innovation,design,8
theater,engineering,6
theater,architecture,63
theater,design,15
degradation,engineering,24
degradation,architecture,5
degradation,design,1
additive manufacturing,engineering,17
additive manufacturing,architecture,1
additive manufacturing,design,12
case study,engineering,25
case study,architecture,4
case study,design,1
e-commerce,engineering,18
e-commerce,architecture,0
e-commerce,design,12
industry,engineering,11
industry,architecture,17
industry,design,2
mapping,engineering,13
mapping,architecture,9
mapping,design,8
garden,engineering,1
garden,architecture,19
garden,design,10
biogas,engineering,27
biogas,architecture,2
biogas,design,1
cloud computing,engineering,29
cloud computing,architecture,0
cloud computing,design,1
church,engineering,5
church,architecture,23
church,design,2
Piacenza,engineering,2
Piacenza,architecture,27
Piacenza,design,1
reliability,engineering,30
reliability,architecture,0
reliability,design,0
