Keyword	MSc Course	Number of theses
communication	Design & Engineering	4
communication	Communication Design	62
communication	Fashion Design	8
communication	Interior Design	5
communication	Service Design	10
communication	Product Design	8
sustainability	Design & Engineering	10
sustainability	Communication Design	11
sustainability	Fashion Design	10
sustainability	Interior Design	13
sustainability	Service Design	22
sustainability	Product Design	25
Milan	Design & Engineering	1
Milan	Communication Design	18
Milan	Fashion Design	6
Milan	Interior Design	45
Milan	Service Design	13
Milan	Product Design	7
fashion	Design & Engineering	0
fashion	Communication Design	5
fashion	Fashion Design	45
fashion	Interior Design	4
fashion	Service Design	6
fashion	Product Design	2
innovation	Design & Engineering	5
innovation	Communication Design	8
innovation	Fashion Design	15
innovation	Interior Design	4
innovation	Service Design	14
innovation	Product Design	12
food	Design & Engineering	1
food	Communication Design	12
food	Fashion Design	1
food	Interior Design	9
food	Service Design	11
food	Product Design	17
museum	Design & Engineering	1
museum	Communication Design	9
museum	Fashion Design	1
museum	Interior Design	35
museum	Service Design	3
museum	Product Design	6
interaction	Design & Engineering	6
interaction	Communication Design	35
interaction	Fashion Design	1
interaction	Interior Design	11
interaction	Service Design	8
interaction	Product Design	6
service	Design & Engineering	1
service	Communication Design	5
service	Fashion Design	1
service	Interior Design	3
service	Service Design	61
service	Product Design	21
community	Design & Engineering	0
community	Communication Design	14
community	Fashion Design	1
community	Interior Design	11
community	Service Design	9
community	Product Design	7
social network	Design & Engineering	0
social network	Communication Design	37
social network	Fashion Design	1
social network	Interior Design	1
social network	Service Design	4
social network	Product Design	5
city	Design & Engineering	0
city	Communication Design	16
city	Fashion Design	0
city	Interior Design	12
city	Service Design	6
city	Product Design	7
experience	Design & Engineering	0
experience	Communication Design	9
experience	Fashion Design	1
experience	Interior Design	8
experience	Service Design	8
experience	Product Design	15
identity	Design & Engineering	0
identity	Communication Design	18
identity	Fashion Design	2
identity	Interior Design	10
identity	Service Design	4
identity	Product Design	6
brand	Design & Engineering	0
brand	Communication Design	18
brand	Fashion Design	3
brand	Interior Design	4
brand	Service Design	1
brand	Product Design	11
storytelling	Design & Engineering	0
storytelling	Communication Design	27
storytelling	Fashion Design	0
storytelling	Interior Design	1
storytelling	Service Design	4
storytelling	Product Design	6
art	Design & Engineering	0
art	Communication Design	4
art	Fashion Design	6
art	Interior Design	19
art	Service Design	5
art	Product Design	4
music	Design & Engineering	2
music	Communication Design	12
music	Fashion Design	1
music	Interior Design	6
music	Service Design	2
music	Product Design	13
China	Design & Engineering	1
China	Communication Design	6
China	Fashion Design	3
China	Interior Design	6
China	Service Design	14
China	Product Design	6
cinema	Design & Engineering	0
cinema	Communication Design	23
cinema	Fashion Design	2
cinema	Interior Design	10
cinema	Service Design	1
cinema	Product Design	0
Alzheimer	Design & Engineering	0
Alzheimer	Communication Design	0
Alzheimer	Fashion Design	0
Alzheimer	Interior Design	34
Alzheimer	Service Design	0
Alzheimer	Product Design	2
app	Design & Engineering	0
app	Communication Design	38
app	Fashion Design	6
app	Interior Design	4
app	Service Design	7
app	Product Design	7
territory	Design & Engineering	0
territory	Communication Design	16
territory	Fashion Design	4
territory	Interior Design	5
territory	Service Design	1
territory	Product Design	8
culture	Design & Engineering	0
culture	Communication Design	13
culture	Fashion Design	6
culture	Interior Design	6
culture	Service Design	4
culture	Product Design	5
education	Design & Engineering	0
education	Communication Design	10
education	Fashion Design	0
education	Interior Design	1
education	Service Design	9
education	Product Design	13
tourism	Design & Engineering	0
tourism	Communication Design	9
tourism	Fashion Design	0
tourism	Interior Design	6
tourism	Service Design	12
tourism	Product Design	5
public space	Design & Engineering	0
public space	Communication Design	1
public space	Fashion Design	0
public space	Interior Design	26
public space	Service Design	1
public space	Product Design	3
furniture	Design & Engineering	2
furniture	Communication Design	4
furniture	Fashion Design	1
furniture	Interior Design	4
furniture	Service Design	2
furniture	Product Design	16
light	Design & Engineering	4
light	Communication Design	2
light	Fashion Design	3
light	Interior Design	11
light	Service Design	1
light	Product Design	8
social innovation	Design & Engineering	0
social innovation	Communication Design	5
social innovation	Fashion Design	0
social innovation	Interior Design	1
social innovation	Service Design	19
social innovation	Product Design	5
system	Design & Engineering	2
system	Communication Design	4
system	Fashion Design	0
system	Interior Design	3
system	Service Design	11
system	Product Design	10
reuse	Design & Engineering	4
reuse	Communication Design	0
reuse	Fashion Design	3
reuse	Interior Design	8
reuse	Service Design	4
reuse	Product Design	11
network	Design & Engineering	1
network	Communication Design	9
network	Fashion Design	0
network	Interior Design	7
network	Service Design	5
network	Product Design	7
game	Design & Engineering	1
game	Communication Design	12
game	Fashion Design	0
game	Interior Design	2
game	Service Design	4
game	Product Design	10
social	Design & Engineering	0
social	Communication Design	12
social	Fashion Design	0
social	Interior Design	5
social	Service Design	5
social	Product Design	6
landscape	Design & Engineering	0
landscape	Communication Design	6
landscape	Fashion Design	0
landscape	Interior Design	19
landscape	Service Design	0
landscape	Product Design	3
time	Design & Engineering	1
time	Communication Design	3
time	Fashion Design	10
time	Interior Design	7
time	Service Design	1
time	Product Design	5
packaging	Design & Engineering	1
packaging	Communication Design	16
packaging	Fashion Design	2
packaging	Interior Design	2
packaging	Service Design	2
packaging	Product Design	14
digital	Design & Engineering	0
digital	Communication Design	15
digital	Fashion Design	3
digital	Interior Design	2
digital	Service Design	3
digital	Product Design	3
bicycle	Design & Engineering	11
bicycle	Communication Design	1
bicycle	Fashion Design	0
bicycle	Interior Design	1
bicycle	Service Design	3
bicycle	Product Design	10
collaboration	Design & Engineering	0
collaboration	Communication Design	5
collaboration	Fashion Design	1
collaboration	Interior Design	4
collaboration	Service Design	10
collaboration	Product Design	6
perception	Design & Engineering	4
perception	Communication Design	6
perception	Fashion Design	1
perception	Interior Design	8
perception	Service Design	0
perception	Product Design	6
urban	Design & Engineering	3
urban	Communication Design	2
urban	Fashion Design	0
urban	Interior Design	9
urban	Service Design	3
urban	Product Design	7
made in Italy	Design & Engineering	0
made in Italy	Communication Design	1
made in Italy	Fashion Design	11
made in Italy	Interior Design	2
made in Italy	Service Design	5
made in Italy	Product Design	4
photography	Design & Engineering	1
photography	Communication Design	12
photography	Fashion Design	2
photography	Interior Design	4
photography	Service Design	2
photography	Product Design	1
tradition	Design & Engineering	0
tradition	Communication Design	3
tradition	Fashion Design	7
tradition	Interior Design	6
tradition	Service Design	2
tradition	Product Design	4
3D printing	Design & Engineering	14
3D printing	Communication Design	0
3D printing	Fashion Design	2
3D printing	Interior Design	0
3D printing	Service Design	1
3D printing	Product Design	5
Italy	Design & Engineering	0
Italy	Communication Design	13
Italy	Fashion Design	1
Italy	Interior Design	2
Italy	Service Design	5
Italy	Product Design	1
nature	Design & Engineering	2
nature	Communication Design	3
nature	Fashion Design	1
nature	Interior Design	8
nature	Service Design	1
nature	Product Design	7
technology	Design & Engineering	1
technology	Communication Design	4
technology	Fashion Design	3
technology	Interior Design	3
technology	Service Design	5
technology	Product Design	6
creativity	Design & Engineering	0
creativity	Communication Design	8
creativity	Fashion Design	4
creativity	Interior Design	4
creativity	Service Design	1
creativity	Product Design	5
retail	Design & Engineering	1
retail	Communication Design	3
retail	Fashion Design	4
retail	Interior Design	7
retail	Service Design	7
retail	Product Design	3
workshop	Design & Engineering	1
workshop	Communication Design	3
workshop	Fashion Design	1
workshop	Interior Design	6
workshop	Service Design	6
workshop	Product Design	4
temporary	Design & Engineering	0
temporary	Communication Design	1
temporary	Fashion Design	1
temporary	Interior Design	14
temporary	Service Design	2
temporary	Product Design	3
platform	Design & Engineering	1
platform	Communication Design	7
platform	Fashion Design	1
platform	Interior Design	2
platform	Service Design	9
platform	Product Design	1
web	Design & Engineering	0
web	Communication Design	18
web	Fashion Design	1
web	Interior Design	1
web	Service Design	1
web	Product Design	0
wood	Design & Engineering	1
wood	Communication Design	2
wood	Fashion Design	0
wood	Interior Design	6
wood	Service Design	2
wood	Product Design	8
wayfinding	Design & Engineering	0
wayfinding	Communication Design	17
wayfinding	Fashion Design	0
wayfinding	Interior Design	1
wayfinding	Service Design	1
wayfinding	Product Design	1
cultural heritage	Design & Engineering	2
cultural heritage	Communication Design	7
cultural heritage	Fashion Design	0
cultural heritage	Interior Design	8
cultural heritage	Service Design	2
cultural heritage	Product Design	1
communication design	Design & Engineering	0
communication design	Communication Design	18
communication design	Fashion Design	0
communication design	Interior Design	1
communication design	Service Design	0
communication design	Product Design	0
co-design	Design & Engineering	2
co-design	Communication Design	1
co-design	Fashion Design	1
co-design	Interior Design	2
co-design	Service Design	9
co-design	Product Design	4
modular	Design & Engineering	2
modular	Communication Design	0
modular	Fashion Design	0
modular	Interior Design	9
modular	Service Design	0
modular	Product Design	8
mobility	Design & Engineering	1
mobility	Communication Design	4
mobility	Fashion Design	0
mobility	Interior Design	1
mobility	Service Design	4
mobility	Product Design	8
map	Design & Engineering	0
map	Communication Design	17
map	Fashion Design	0
map	Interior Design	1
map	Service Design	0
map	Product Design	0
game design	Design & Engineering	0
game design	Communication Design	17
game design	Fashion Design	0
game design	Interior Design	0
game design	Service Design	1
game design	Product Design	0
contemporary art	Design & Engineering	0
contemporary art	Communication Design	1
contemporary art	Fashion Design	1
contemporary art	Interior Design	15
contemporary art	Service Design	0
contemporary art	Product Design	1
mobile	Design & Engineering	0
mobile	Communication Design	14
mobile	Fashion Design	1
mobile	Interior Design	2
mobile	Service Design	1
mobile	Product Design	0
crowdsourcing	Design & Engineering	0
crowdsourcing	Communication Design	5
crowdsourcing	Fashion Design	0
crowdsourcing	Interior Design	1
crowdsourcing	Service Design	8
crowdsourcing	Product Design	4
research	Design & Engineering	1
research	Communication Design	4
research	Fashion Design	4
research	Interior Design	0
research	Service Design	2
research	Product Design	7
architecture	Design & Engineering	0
architecture	Communication Design	2
architecture	Fashion Design	3
architecture	Interior Design	13
architecture	Service Design	0
architecture	Product Design	0
luxury	Design & Engineering	0
luxury	Communication Design	3
luxury	Fashion Design	7
luxury	Interior Design	1
luxury	Service Design	6
luxury	Product Design	1
space	Design & Engineering	0
space	Communication Design	2
space	Fashion Design	2
space	Interior Design	10
space	Service Design	2
space	Product Design	0
play	Design & Engineering	1
play	Communication Design	2
play	Fashion Design	0
play	Interior Design	2
play	Service Design	1
play	Product Design	11
new media	Design & Engineering	0
new media	Communication Design	10
new media	Fashion Design	4
new media	Interior Design	2
new media	Service Design	0
new media	Product Design	1
strategy	Design & Engineering	0
strategy	Communication Design	7
strategy	Fashion Design	0
strategy	Interior Design	3
strategy	Service Design	5
strategy	Product Design	2
history	Design & Engineering	0
history	Communication Design	5
history	Fashion Design	3
history	Interior Design	7
history	Service Design	0
history	Product Design	2
marketing	Design & Engineering	0
marketing	Communication Design	9
marketing	Fashion Design	1
marketing	Interior Design	3
marketing	Service Design	1
marketing	Product Design	3
sport	Design & Engineering	4
sport	Communication Design	4
sport	Fashion Design	3
sport	Interior Design	2
sport	Service Design	2
sport	Product Design	2
internet	Design & Engineering	0
internet	Communication Design	11
internet	Fashion Design	3
internet	Interior Design	1
internet	Service Design	1
internet	Product Design	0
magazine	Design & Engineering	0
magazine	Communication Design	8
magazine	Fashion Design	6
